Date,Infosys,Wipro,HCL Tech,Tech Mahindra,HDFC Bank,ICICI Bank,Axis Bank,Kotak Bank,SBI,Reliance,ONGC,Power Grid,NTPC,Adani Green,HUL,ITC,Nestle,Britannia,Sun Pharma,Dr Reddy,Cipla,Maruti,Bajaj Auto,Tata Steel,JSW Steel,Bharti Airtel,L&T,Ultratech
2022-04-06,770.4829711914062,3391.842041015625,758.0892944335938,3091.1748046875,987.3375244140624,832.6910400390625,977.2516479492188,737.6423950195312,1996.2869873046875,719.3665161132812,1606.9947509765625,209.31607055664065,704.863037109375,354.5754089355469,1760.9022216796875,7469.65673828125,870.96630859375,134.9091033935547,134.6073455810547,148.5174102783203,1186.2147216796875,470.1343383789063,892.6821899414062,118.207763671875,3292.222412109375,1270.2669677734375,6586.17626953125,276.9229431152344
2022-04-07,788.806396484375,3392.2431640625,745.13916015625,3102.098876953125,994.7257690429688,840.6056518554688,979.58935546875,721.4231567382812,2017.488525390625,726.108154296875,1591.31005859375,206.9374847412109,695.9255981445312,351.99493408203125,1735.7166748046875,7369.63232421875,869.61083984375,135.34999084472656,131.5303955078125,145.1912078857422,1165.2899169921875,471.049072265625,895.4234619140625,116.37525177001952,3229.80322265625,1278.275146484375,6586.6650390625,270.9976806640625
2022-04-08,791.5948486328125,3399.469970703125,744.845947265625,3152.762939453125,970.6420288085938,862.5972900390625,972.95166015625,720.42431640625,2034.4970703125,731.6857299804688,1594.473388671875,215.92776489257807,723.2158203125,355.5916442871094,1739.9459228515625,7290.009765625,882.252197265625,134.07144165039062,133.12728881835938,145.9757080078125,1184.6748046875,472.10101318359375,889.3157958984375,118.207763671875,3231.118408203125,1261.040283203125,6684.78125,272.3041076660156
2022-04-11,782.781494140625,3378.771484375,740.8876953125,3155.352783203125,983.9793090820312,852.891357421875,946.3603515625,711.6250610351562,2015.858154296875,736.8267822265625,1552.25244140625,215.6858673095703,733.5393676757812,355.3824462890625,1693.1387939453125,7297.1953125,880.9874877929688,134.99729919433594,133.36099243164062,144.90882873535156,1182.2064208984375,471.0033874511719,890.0853271484375,117.0996322631836,3240.542236328125,1261.4320068359375,6706.046875,266.44879150390625
2022-04-12,795.1300048828125,3311.769775390625,724.8590087890625,3149.184814453125,985.6583862304688,851.3045043945312,944.3983154296876,710.3646240234375,1987.153564453125,740.9493408203125,1531.0758056640625,213.5088348388672,722.5468139648438,359.0489196777344,1661.0150146484375,7348.26806640625,880.5787963867188,134.55641174316406,131.5693359375,146.28948974609375,1159.945556640625,469.1280822753906,886.1417846679688,113.85285186767578,3235.896240234375,1231.6632080078125,6624.69873046875,260.66357421875
2022-04-13,789.7525024414062,3298.6103515625,723.881591796875,3154.4111328125,975.4395751953124,837.0621337890625,939.3470458984376,696.78515625,2005.6993408203125,739.3973999023438,1536.4359130859375,217.3387756347656,732.53564453125,354.6152648925781,1673.46533203125,7204.6953125,878.8863525390625,135.74679565429688,135.73684692382812,144.0301971435547,1155.6881103515625,473.5646667480469,901.002197265625,113.78817749023438,3210.340576171875,1227.70263671875,6580.21240234375,260.8968200683594
2022-04-18,795.5283813476562,3314.044677734375,712.9840698242188,3148.99609375,986.234130859375,834.2875366210938,919.8522338867188,663.7283325195312,2029.4642333984373,735.080810546875,1424.710205078125,217.78224182128903,733.9694213867188,348.7966613769531,1652.1287841796875,7305.00830078125,887.4492797851562,143.90306091308594,136.94427490234375,145.03431701660156,1152.1551513671875,466.063720703125,892.1051635742188,115.47840118408205,3092.95458984375,1170.34130859375,6491.7763671875,251.28579711914065
2022-04-19,794.4827270507812,3262.78955078125,707.1199340820312,3077.42578125,959.799560546875,819.6362915039062,893.552978515625,638.400634765625,1969.260498046875,743.3259887695312,1372.51611328125,210.8883514404297,713.4659423828125,340.2481384277344,1621.145751953125,7171.51513671875,858.1456298828125,141.65457153320312,137.9959259033203,142.9946746826172,1196.0655517578125,468.1676025390625,886.8150634765625,114.40045166015624,3043.72900390625,1132.6077880859375,6439.07666015625,247.48341369628903
2022-04-20,791.3956298828125,3319.53173828125,722.6109619140625,3111.610107421875,971.0738525390624,835.9328002929688,909.541259765625,644.1559448242188,2017.628662109375,732.8983154296875,1395.0982666015625,209.2757568359375,706.2490234375,342.9980163574219,1607.6976318359375,7394.904296875,875.1952514648438,141.5222930908203,136.7106170654297,142.46124267578125,1231.234619140625,465.8807678222656,888.2578125,113.33544158935548,3118.15869140625,1139.5714111328125,6655.59521484375,250.3060760498047
2022-04-21,798.4661254882812,3303.11572265625,719.0924682617188,3164.0634765625,958.1204223632812,841.1702880859375,917.7232055664062,653.6924438476562,2048.382568359375,739.494384765625,1422.4256591796875,209.9611358642578,701.80419921875,350.8790283203125,1629.4619140625,7599.87109375,874.606689453125,143.462158203125,135.6589813232422,142.61813354492188,1260.0631103515625,472.2839965820313,908.0717163085938,112.29198455810548,3181.147705078125,1142.617919921875,6694.0693359375,251.5657501220703
2022-04-22,777.3541870117188,3249.719482421875,722.0245971679688,3168.018798828125,927.8477783203124,816.3361206054688,920.102783203125,644.774169921875,1982.21435546875,725.2351684570312,1393.121337890625,210.5255279541016,691.4807739257812,344.2832336425781,1610.3111572265625,7624.27392578125,873.8762817382812,141.4782257080078,135.54212951660156,141.48849487304688,1249.5098876953125,457.9224853515625,889.5081787109375,110.17058563232422,3167.033447265625,1137.22119140625,6593.94970703125,250.8659210205078
